long_id,treatment,time,pres,accmag,mean_strain,roi
U220910134118,50rpm_modified,9.798,103.68682861328125,0.4208646844653039,9.013400544287343,unlabeled
U220910134118,50rpm_modified,9.809,103.711328125,0.19322906098706127,68.71671467587487,unlabeled
U220910134118,50rpm_modified,9.819,103.74082641601562,0.29166787478544975,110.42810929994144,unlabeled
U220910134118,50rpm_modified,9.829,103.66482543945313,0.438096926014941,58.16154824901205,unlabeled
U220910134118,50rpm_modified,9.84,103.58933715820312,0.5583794728925024,69.27481997273475,unlabeled
U220910134118,50rpm_modified,9.85,103.4788330078125,0.36295441596581846,74.9814466331272,unlabeled
U220910134118,50rpm_modified,9.86,103.43983154296875,0.3694990809746699,139.56818211223884,unlabeled
U220910134118,50rpm_modified,9.871,103.43233032226563,0.5591124447432332,104.71450632333824,unlabeled
U220910134118,50rpm_modified,9.881,103.39783325195313,0.7696268369676105,168.1361969952548,unlabeled
U220910134118,50rpm_modified,9.891,103.35032958984375,0.9202470491939893,59.56378780737255,unlabeled
U220910134118,50rpm_modified,9.908,103.2458251953125,1.1888404651952982,57.28253240645771,unlabeled
U220910134118,50rpm_modified,9.919,103.18383178710937,1.067485982850359,44.12520003298563,unlabeled
U220910134118,50rpm_modified,9.929,103.08133544921876,0.9754441365307364,37.274457514030395,unlabeled
U220910134118,50rpm_modified,9.939,103.04532470703126,0.6401962672812154,30.9887966081458,unlabeled
U220910134118,50rpm_modified,9.95,103.07833251953124,0.80759820113051894,38.74646023449837,unlabeled
U220910134118,50rpm_modified,9.96,103.11533813476562,0.9448544194337832,34.40719155141267,unlabeled
U220910134118,50rpm_modified,9.97,103.05733032226563,0.9989224167694406,6.411234597678071,unlabeled
U220910134118,50rpm_modified,9.981,103.0478271484375,0.7462299736560336,46.42040806632196,unlabeled
U220910134118,50rpm_modified,9.991,103.08983154296875,0.7458942086342724,81.84614178450394,unlabeled
U220910134118,50rpm_modified,10.001,103.04033203125,0.9735520560528048,87.56672107731791,unlabeled
U220910134118,50rpm_modified,10.011,102.923828125,0.7856504360388907,89.28289486516208,unlabeled
U220910134118,50rpm_modified,10.022,102.88233642578125,0.22341431858534477,67.56562250110133,unlabeled
U220910134118,50rpm_modified,10.032,102.95582885742188,0.2654252185871808,72.71414386463388,unlabeled
U220910134118,50rpm_modified,10.042,103.00382690429687,0.8669053827956787,90.43398703993562,unlabeled
U220910134118,50rpm_modified,10.053,102.93683471679688,0.9742200309076168,35.8861705880914,unlabeled
U220910134118,50rpm_modified,10.063,102.87982788085938,0.8080644978530884,22.156780285337923,unlabeled
U220910134118,50rpm_modified,10.073,102.93383178710937,1.3449583105233085,26.168162106518437,unlabeled
U220910134118,50rpm_modified,10.083,102.79583129882812,1.6811184416271292,52.12703472671441,unlabeled
U220910134118,50rpm_modified,10.094,102.60532836914062,1.2789539629239195,72.13510961914173,unlabeled
U220910134118,50rpm_modified,10.104,102.55632934570312,1.1602503422023656,72.70716754842313,unlabeled
U220910134118,50rpm_modified,10.114,102.52532958984375,0.4994179513157384,66.99356457181993,unlabeled
U220910134118,50rpm_modified,10.125,102.57032470703125,0.33060167651205496,98.42884541745364,unlabeled
U220910134118,50rpm_modified,10.135,102.61333618164062,0.04921405731729322,110.4211329837307,unlabeled
U220910134118,50rpm_modified,10.145,102.50133056640625,-0.06113816719304488,92.13620819535831,unlabeled
U220910134118,50rpm_modified,10.155,102.44082946777344,-1.0999422234700624,104.13896023595146,unlabeled
U220910134118,50rpm_modified,10.166,102.38033142089844,-1.980242442273754,155.57533965780175,unlabeled
U220910134118,50rpm_modified,10.176,102.45282897949221,-1.9539578155456985,141.8599019874698,unlabeled
U220910134118,50rpm_modified,10.187,102.47632446289063,-1.6148979202213738,245.04310690256168,unlabeled
U220910134118,50rpm_modified,10.197,102.2968292236328,-1.5772059314099334,167.88853776977325,unlabeled
U220910134118,50rpm_modified,10.207,102.35733032226563,-1.2615439855169104,234.19493519484743,unlabeled
U220910134118,50rpm_modified,10.218,102.30382995605467,-0.7245116856959637,254.77157985843775,unlabeled
U220910134118,50rpm_modified,10.228,102.2053253173828,-0.10388849997604764,295.3388586239416,unlabeled
U220910134118,50rpm_modified,10.238,102.1278289794922,0.0502788107626575,218.18080133307376,unlabeled
U220910134118,50rpm_modified,10.249,102.05132751464843,-0.11611053441686892,114.17787926320587,unlabeled
U220910134118,50rpm_modified,10.259,102.10183410644532,0.02700657317432586,82.42168787189722,unlabeled
U220910134118,50rpm_modified,10.269,102.19933166503907,0.5663674606285021,91.56066210795855,unlabeled
U220910134118,50rpm_modified,10.279,102.25332946777344,1.0801098477259146,186.43856257416058,unlabeled
U220910134118,50rpm_modified,10.29,102.31783142089844,1.2087614270744442,233.29847856175323,unlabeled
U220910134118,50rpm_modified,10.3,102.36482849121094,1.531225790983699,49.27023323843231,unlabeled
U220910134118,50rpm_modified,10.31,102.33982849121094,1.917527130529008,62.99264722495555,unlabeled
U220910134118,50rpm_modified,10.321,102.34833068847657,1.7687912428454045,46.165772524623144,unlabeled
U220910134118,50rpm_modified,10.331,102.41983032226563,1.7359907181823253,57.60344295213916,unlabeled
U220910134118,50rpm_modified,10.341,102.51432495117187,2.3624111020220155,126.7457129168827,unlabeled
U220910134118,50rpm_modified,10.352,102.56832885742188,2.7242169309553024,89.03174748157512,unlabeled
U220910134118,50rpm_modified,10.362,102.623828125,3.4067699602275,53.5990374471824,unlabeled
U220910134118,50rpm_modified,10.372,102.56782836914063,3.638765587289321,125.60857337453065,unlabeled
U220910134118,50rpm_modified,10.383,102.52483520507812,3.5519501344061997,69.60270683463995,unlabeled
U220910134118,50rpm_modified,10.393,102.49483032226563,3.6728968161372375,121.59719155335014,unlabeled
U220910134118,50rpm_modified,10.403,102.45183715820312,3.820033392651885,156.46481997465924,unlabeled
U220910134118,50rpm_modified,10.414,102.38533325195313,3.657639289788543,121.03210994026,unlabeled
U220910134118,50rpm_modified,10.424,102.37933349609376,3.735541507546369,149.614077455717,unlabeled
U220910134118,50rpm_modified,10.434,102.42533569335937,3.619512145923565,118.75085453935166,unlabeled
U220910134118,50rpm_modified,10.444,102.31583557128906,3.622159405674431,115.30804248936016,unlabeled
U220910134118,50rpm_modified,10.455,102.21383361816406,3.0830559784352243,54.732688831422564,unlabeled
U220910134118,50rpm_modified,10.465,102.10433044433594,2.230473497280631,49.019085854819366,unlabeled
U220910134118,50rpm_modified,10.475,102.14632873535156,1.6180927815117483,75.88487958243218,unlabeled
U220910134118,50rpm_modified,10.486,102.1278289794922,1.1486910643352104,50.17017802961889,unlabeled
U220910134118,50rpm_modified,10.496,102.04783020019532,0.9432833705482152,54.41875460195187,unlabeled
U220910134118,50rpm_modified,10.506,102.0073272705078,0.30969855967575377,43.56360657802037,unlabeled
U220910134118,50rpm_modified,10.517,101.9633331298828,-0.14496512487647806,61.276473437111356,unlabeled
U220910134118,50rpm_modified,10.527,101.91282653808594,-0.5718508678452316,72.13859777724711,unlabeled
U220910134118,50rpm_modified,10.537,101.85232849121094,-1.1626593535455552,73.84779524888054,unlabeled
U220910134118,50rpm_modified,10.547,101.80382995605467,-1.7773043720597848,56.7000100028537,unlabeled
U220910134118,50rpm_modified,10.558,101.79582824707032,-2.4303995233287976,54.41875460193887,unlabeled
U220910134118,50rpm_modified,10.568,101.8048309326172,-2.8251949520358535,22.15329212723255,unlabeled
U220910134118,50rpm_modified,10.578,101.78932800292968,-3.270259850776333,94.7488386162902,unlabeled
U220910134118,50rpm_modified,10.589,101.8343292236328,-3.566178906346212,38.9871431437692,unlabeled
U220910134118,50rpm_modified,10.599,101.7863311767578,-3.927024469445627,81.59848255904187,unlabeled
U220910134118,50rpm_modified,10.609,101.76382751464844,-4.3159577470209385,62.169441912087194,unlabeled
U220910134118,50rpm_modified,10.62,101.77882995605468,-4.908102393386676,35.310624500704634,unlabeled
U220910134118,50rpm_modified,10.63,101.83333435058594,-5.09991509403739,32.129424308596725,unlabeled
