long_id,treatment,time,pres,accmag,mean_strain,roi,zeroX,ODBA
U300911094144,50rpm_modified,4.07,103.2371337890625,1.3971133410527088,159.080938553703,unlabeled,0,5.037299826480448
U300911094144,50rpm_modified,4.08,103.23047281901043,1.4971485373616478,125.92250760401436,unlabeled,0,5.345600240565836
U300911094144,50rpm_modified,4.09,103.22280680338542,1.6776720950380837,149.36293007213,unlabeled,0,5.795000281669198
U300911094144,50rpm_modified,4.101,103.20414225260416,1.6358247945388236,159.07396223749225,unlabeled,0,6.378599960543213
U300911094144,50rpm_modified,4.111,103.157470703125,1.7338992649542213,167.07579693122105,unlabeled,0,6.791700285412371
U300911094144,50rpm_modified,4.121,103.12513427734375,1.8272076807236637,157.3647647658588,unlabeled,0,7.404499954916536
U300911094144,50rpm_modified,4.132,103.08946940104167,1.778364500156302,184.23055849345212,unlabeled,0,7.603099541403353
U300911094144,50rpm_modified,4.142,103.05013427734374,1.85123941802744,176.2217474835126,unlabeled,0,7.8745000192895525
U300911094144,50rpm_modified,4.152,103.02980143229168,1.8222912540230176,164.78756521409545,unlabeled,0,8.566700098253786
U300911094144,50rpm_modified,4.162,102.96580403645832,1.8926024101159025,171.64528404926145,unlabeled,0,8.944899999834597
U300911094144,50rpm_modified,4.173,102.91947021484376,1.8471739363549895,185.9327796488748,unlabeled,0,9.255700204111637
U300911094144,50rpm_modified,4.183,102.86446940104167,1.7967046888087663,163.65740198795413,unlabeled,0,9.498399769999088
U300911094144,50rpm_modified,4.193,102.82147216796875,1.7627004136741835,146.5026404257231,unlabeled,0,10.001899811960756
U300911094144,50rpm_modified,4.204,102.78214111328126,1.7284966057431372,143.92140342774601,unlabeled,0,10.417000174261629
U300911094144,50rpm_modified,4.214,102.74346923828125,1.6340815777246045,142.77031125297248,unlabeled,0,10.45020017597824
U300911094144,50rpm_modified,4.224,102.72813720703125,1.645561944372906,167.64087854429167,unlabeled,0,10.608800074793397
U300911094144,50rpm_modified,4.234,102.66380615234375,1.6548197368686282,137.63574252186143,unlabeled,0,11.002599515654147
U300911094144,50rpm_modified,4.245,102.57813313802085,1.5387402291859331,110.76994879426812,unlabeled,0,11.234200302101671
U300911094144,50rpm_modified,4.261,102.47780354817708,1.3035324654781402,123.92030485153596,unlabeled,0,11.15440042350441
U300911094144,50rpm_modified,4.271,102.47147216796876,1.166424882479804,135.92654505022801,unlabeled,0,10.970500164963301
U300911094144,50rpm_modified,4.281,102.48913981119793,1.1514366402507346,125.071397026303,unlabeled,0,11.140299814678727
U300911094144,50rpm_modified,4.292,102.43446858723958,1.177957024852338,149.0699247912786,unlabeled,0,11.57059993837029
U300911094144,50rpm_modified,4.302,102.32247314453124,1.073294319891028,150.78609857912278,unlabeled,0,11.537999785281716
U300911094144,50rpm_modified,4.312,102.2421366373698,0.802634318370048,169.6395931386712,unlabeled,0,11.201100392080846
U300911094144,50rpm_modified,4.323,102.2248026529948,0.5786720608020826,165.0701060206308,unlabeled,0,10.920500473715364
U300911094144,50rpm_modified,4.333,102.19113566080728,0.6639960742656896,170.2116510679461,unlabeled,0,11.254899738244713
U300911094144,50rpm_modified,4.343,102.13880411783853,0.5735926890141307,159.3565030440276,unlabeled,0,11.19359985809773
U300911094144,50rpm_modified,4.353,102.02713826497396,0.42442217268694016,160.4936425863731,unlabeled,0,10.711499897651372
U300911094144,50rpm_modified,4.364,101.95347290039062,0.17596005202068987,154.78003960977642,unlabeled,0,10.13550003092736
U300911094144,50rpm_modified,4.374,101.90380249023437,-0.1140782386911674,161.63775844494242,unlabeled,0,9.473000017814337
U300911094144,50rpm_modified,4.385,101.88847045898437,-0.2769366252392267,155.3520975390643,unlabeled,0,9.184699644260107
U300911094144,50rpm_modified,4.395,101.83580118815104,-0.3127949069854665,162.78187430350522,unlabeled,0,8.87040026348084
U300911094144,50rpm_modified,4.405,101.76013793945313,-0.6563286994129989,177.06936990312505,unlabeled,0,8.551199912242591
U300911094144,50rpm_modified,4.415,101.71647338867187,-0.8918554020858434,165.64216394991217,unlabeled,0,8.210600395612419
U300911094144,50rpm_modified,4.426,101.66813354492187,-1.081099790761794,156.4962133976271,unlabeled,0,7.612300106547773
U300911094144,50rpm_modified,4.436,101.6191385904948,-1.210906858707096,129.63739598623803,unlabeled,0,7.19430040385574
U300911094144,50rpm_modified,4.446,101.53513793945312,-1.4362614025530114,120.49144543393999,unlabeled,0,6.561799952052532
U300911094144,50rpm_modified,4.457,101.47446695963541,-1.7064882765670149,123.92030485152947,unlabeled,0,5.996600159667431
U300911094144,50rpm_modified,4.467,101.45313313802083,-1.9346015276768451,111.34200672354953,unlabeled,0,5.3573999693617225
U300911094144,50rpm_modified,4.477,101.4478047688802,-2.007006816958408,102.77160225864472,unlabeled,0,4.722900221906603
U300911094144,50rpm_modified,4.488,101.40980021158853,-2.2650016133719033,96.48594135276014,unlabeled,0,4.38150003489107
U300911094144,50rpm_modified,4.498,101.38080037434896,-2.4029086952161514,83.91461954098445,unlabeled,0,4.2350001407414695
U300911094144,50rpm_modified,4.508,101.33946940104167,-2.6054597026811672,69.05855417020156,unlabeled,0,3.8503000036627073
U300911094144,50rpm_modified,4.519,101.28880208333334,-2.8068148618094524,42.19276044260824,unlabeled,0,3.3702001867443343
